id_venta,id_cliente,nombre_cliente,sucursal,provincia,fecha_hora,producto,categoria,cantidad,precio_unitario,total_venta,medio_pago,promo_producto,promo_pago,otros_productos
54,7812,Amparo Martinez Gomez,Sucursal Palermo,Buenos Aires,2025-08-28 06:16:26,Llave inglesa,Herramientas manuales,4.0,20084.36,80337.44,mercadopago,,,
55,7232,Sr(a). Clara Gonzalez,Sucursal Mendoza,Mendoza,2024-10-18 08:20:07,Taladro eléctrico,Herramientas eléctricas,3.0,15632.02,46896.06,mercadopago,,,
56,4613,Milagros Ortiz,Sucursal Mendoza,Mendoza,2025-01-17 08:58:31,Llave inglesa,Herramientas manuales,3.0,22355.96,67067.88,transferencia,2x1,,
57,3704,Sofia Thiago Agustin Martinez Ruiz,Sucursal Mendoza,Mendoza,2025-06-04 08:48:04,Martillo,Herramientas manuales,5.0,27172.06,135860.3,tarjeta_crédito,,,"Martillo, Sierra circular"
58,1823,Facundo Alexander Maidana Gonzalez,Sucursal Rosario,Santa Fe,2025-05-15 17:49:06,Rodillo de pintura,Accesorios pintura,3.0,11371.35,34114.05,transferencia,sin interés,3 cuotas sin interés,
59,5558,Sr(a). Bautista Diaz,Sucursal Mendoza,Mendoza,2024-12-28 12:02:30,Caja de tornillos,Fijaciones,1.0,24045.03,24045.03,tarjeta_débito,,,
60,4673,Paula Justina Lucero,Sucursal Palermo,Buenos Aires,2025-02-07 00:26:12,Taladro eléctrico,Herramientas eléctricas,1.0,47530.97,47530.97,tarjeta_crédito,10% off,,
61,3068,Mateo Zoe Jazmin Quiroga Cabrera,Sucursal Mendoza,Mendoza,2025-07-26 22:54:41,Destornillador,Herramientas manuales,5.0,47440.09,237200.45,tarjeta_crédito,,3 cuotas sin interés,
62,2876,Sr(a). Valentina  Castro,Sucursal Córdoba,Córdoba,2025-09-13 08:47:25,Caja de tornillos,Fijaciones,1.0,29355.55,29355.55,tarjeta_crédito,sin interés,,
63,2245,Luisana Fernandez Gomez,Sucursal Córdoba,Córdoba,2024-10-28 01:50:32,Destornillador,Herramientas manuales,3.0,42664.37,127993.11,mercadopago,,,
64,1672,Sr(a). Victoria Juarez,Sucursal Rosario,Santa Fe,2025-06-22 04:49:30,Cinta métrica,Medición,,33414.55,133658.2,transferencia,2x1,3 cuotas sin interés,"Sierra circular, Destornillador"
65,6934,Sofia Juan Manuel Perez Suarez,Sucursal Mendoza,Mendoza,2025-09-03 02:32:32,Martillo,Herramientas manuales,4.0,9630.71,38522.84,mercadopago,,3 cuotas sin interés,
66,8921,Catalina Flores Perez,Sucursal Mendoza,Mendoza,2024-09-17 21:14:34,Rodillo de pintura,Accesorios pintura,5.0,14151.38,70756.9,mercadopago,10% off,,"Llave inglesa, Sierra circular"
67,7209,Milo Luca Perez Villalba,Sucursal Rosario,Santa Fe,2025-04-18 18:13:44,Taladro eléctrico,Herramientas eléctricas,4.0,42696.69,170786.76,mercadopago,10% off,,"Pintura látex 4L, Caja de tornillos"
68,5526,Lucas Gomez,Sucursal Palermo,Buenos Aires,2025-08-25 11:20:34,Cinta métrica,Medición,2.0,5195.04,10390.08,tarjeta_crédito,,,
69,8800,Manuel Miguel Angel Nuñez,Sucursal Mendoza,Mendoza,2024-11-13 00:31:43,Sierra circular,Herramientas eléctricas,1.0,5559.61,5559.61,tarjeta_débito,10% off,,
70,7046,Juan Ignacio Sanchez,Sucursal Mendoza,Mendoza,2025-08-31 15:18:34,Cinta métrica,Medición,5.0,17844.11,89220.55,transferencia,,3 cuotas sin interés,
71,5438,Tiziano Valentin Diaz Martinez,Sucursal Rosario,Santa Fe,2024-10-26 10:18:02,Caja de tornillos,Fijaciones,2.0,6912.14,13824.28,tarjeta_crédito,10% off,3 cuotas sin interés,Llave inglesa
72,8933,Fausto Antonio Ramirez Rios,Sucursal Rosario,Santa Fe,2024-11-15 12:44:10,Guantes de trabajo,Protección personal,5.0,30242.75,151213.75,efectivo,2x1,5% off efectivo,"Martillo, Caja de tornillos"
73,9751,Santino Ezequiel Candelaria Correa,Sucursal Córdoba,Córdoba,2025-08-24 19:35:21,Caja de tornillos,Fijaciones,1.0,48740.45,48740.45,tarjeta_crédito,,3 cuotas sin interés,
74,9042,Benjamin Ponce,Sucursal Palermo,Buenos Aires,2025-01-23 12:23:15,Taladro eléctrico,Herramientas eléctricas,5.0,14932.63,74663.15,efectivo,,,
75,5136,Benjamin Ezequiel Guzman,Sucursal Mendoza,Mendoza,2025-07-28 08:55:33,Destornillador,Herramientas manuales,1.0,20634.66,20634.66,efectivo,2x1,,"Destornillador, Llave inglesa"
76,7818,Thiago Benjamin Maia Gomez,Sucursal Córdoba,Córdoba,2025-08-21 05:22:42,Cinta métrica,Medición,4.0,23075.21,92300.84,transferencia,,3 cuotas sin interés,
77,6003,Alma Mia Diaz Maldonado,Sucursal Palermo,Buenos Aires,2025-03-14 06:31:54,Guantes de trabajo,Protección personal,1.0,47431.92,47431.92,tarjeta_crédito,10% off,5% off efectivo,Martillo
78,3847,Julieta Violeta Martinez Gonzalez,Sucursal Palermo,Buenos Aires,2024-11-30 12:17:41,Martillo,Herramientas manuales,1.0,21017.36,21017.36,tarjeta_débito,,,Caja de tornillos
79,8438,Ignacio Guzman,Sucursal Palermo,Buenos Aires,2025-07-13 20:07:17,Llave inglesa,Herramientas manuales,3.0,39603.57,118810.71,mercadopago,,5% off efectivo,
80,4683,Lautaro Bianca Peralta Farias,Sucursal Córdoba,Córdoba,2025-01-23 02:44:06,Caja de tornillos,Fijaciones,2.0,4499.08,8998.16,mercadopago,10% off,3 cuotas sin interés,
81,5728,Juan Ignacio Valdez Lopez,Sucursal Mendoza,Mendoza,2024-12-28 14:31:14,Destornillador,Herramientas manuales,4.0,34745.22,138980.88,mercadopago,,,
82,9847,Santino Benitez Ojeda,Sucursal Mendoza,Mendoza,2025-01-16 07:52:45,Sierra circular,Herramientas eléctricas,1.0,30303.8,30303.8,efectivo,,3 cuotas sin interés,
83,2496,Sofía Gutierrez,Sucursal Córdoba,Córdoba,2025-02-13 02:28:34,Guantes de trabajo,Protección personal,5.0,47588.53,237942.65,tarjeta_crédito,,3 cuotas sin interés,
84,8708,Sr(a). Valentina Vega,Sucursal Mendoza,Mendoza,2024-09-17 03:57:30,Caja de tornillos,Fijaciones,,49850.33,99700.66,transferencia,,,
85,6700,Sr(a). Guadalupe Rodriguez,Sucursal Mendoza,Mendoza,2025-06-01 11:20:19,Pintura látex 4L,Pinturas,3.0,33836.54,101509.62,transferencia,10% off,3 cuotas sin interés,
86,5722,Julian Antonella Gomez Mendoza,Sucursal Mendoza,Mendoza,2025-04-01 10:55:08,Cinta métrica,Medición,1.0,23286.47,23286.47,transferencia,sin interés,3 cuotas sin interés,
87,9431,Vicente Juan Cruz Quiroga Castro,Sucursal Palermo,Buenos Aires,2024-11-30 00:16:26,Cinta métrica,Medición,4.0,21249.13,84996.52,transferencia,10% off,3 cuotas sin interés,
88,8242,Vicente Alvarez,Sucursal Palermo,Buenos Aires,2025-07-04 01:18:51,Llave inglesa,Herramientas manuales,3.0,27911.76,83735.28,transferencia,sin interés,,
89,2989,Mora Julieta Molina,Sucursal Palermo,Buenos Aires,2024-09-16 15:58:42,Guantes de trabajo,Protección personal,2.0,35779.36,71558.72,efectivo,sin interés,,
90,4681,Emilia Pedro Silva Ferreyra,Sucursal Palermo,Buenos Aires,2025-03-16 02:11:55,Sierra circular,Herramientas eléctricas,1.0,32737.77,32737.77,tarjeta_débito,10% off,,
91,9337,Simon Diaz,Sucursal Rosario,Santa Fe,2025-03-19 06:36:34,Rodillo de pintura,Accesorios pintura,4.0,49031.99,196127.96,transferencia,10% off,,
92,4122,Milagros Emilia Dominguez,Sucursal Córdoba,Córdoba,2025-05-15 00:07:25,Destornillador,Herramientas manuales,3.0,38861.08,116583.24,mercadopago,,3 cuotas sin interés,
93,5377,Catalina Oriana Martinez Sanchez,Sucursal Palermo,Buenos Aires,2025-07-26 17:54:20,Caja de tornillos,Fijaciones,3.0,42036.32,126108.96,transferencia,,,
94,9824,Felipe Isabella Velazquez,Sucursal Mendoza,Mendoza,2025-05-11 21:40:51,Pintura látex 4L,Pinturas,3.0,28043.95,84131.85,tarjeta_débito,,,
95,4090,Facundo Cruz Silva,Sucursal Córdoba,Córdoba,2025-06-22 11:39:50,Guantes de trabajo,Protección personal,4.0,12444.56,49778.24,transferencia,,,
96,7246,Morena Martinez,Sucursal Mendoza,Mendoza,2025-05-29 07:05:54,Martillo,Herramientas manuales,4.0,48276.4,193105.6,transferencia,10% off,3 cuotas sin interés,
97,2633,Uma Guzman Cruz,Sucursal Mendoza,Mendoza,2025-07-15 19:35:55,Taladro eléctrico,Herramientas eléctricas,2.0,21088.95,42177.9,efectivo,,5% off efectivo,"Pintura látex 4L, Rodillo de pintura"
98,6383,Delfina Cordoba,Sucursal Mendoza,Mendoza,2025-06-13 18:33:45,Pintura látex 4L,Pinturas,4.0,43746.77,174987.08,transferencia,2x1,,"Llave inglesa, Destornillador"
99,2612,Dr(a). Isabella Martinez,Sucursal Palermo,Buenos Aires,2025-08-11 23:15:45,Sierra circular,Herramientas eléctricas,2.0,35006.06,70012.12,efectivo,2x1,,
100,5806,Facundo Figueroa Carrizo,Sucursal Rosario,Santa Fe,2025-04-21 13:45:21,Pintura látex 4L,Pinturas,4.0,8132.92,32531.68,tarjeta_crédito,,,
101,3785,Dr(a). Maria Guadalupe Paez,Sucursal Córdoba,Córdoba,2025-05-12 10:31:41,Destornillador,Herramientas manuales,5.0,43671.14,218355.7,mercadopago,,5% off efectivo,
102,3344,Dr(a). Ludmila Molina,Sucursal Córdoba,Córdoba,2025-08-30 22:46:49,Sierra circular,Herramientas eléctricas,3.0,23518.95,70556.85,transferencia,,,
103,5712,Maria Emilia Agustin Perez,Sucursal Córdoba,Córdoba,2024-12-21 12:38:09,Destornillador,Herramientas manuales,4.0,,189266.2,transferencia,,3 cuotas sin interés,
104,5097,Bautista Benjamin Maximo Morales Perez,Sucursal Mendoza,Mendoza,2024-10-16 14:23:30,Caja de tornillos,Fijaciones,2.0,49969.3,99938.6,tarjeta_débito,,,"Guantes de trabajo, Caja de tornillos"
105,1359,Francisco Alma Escobar Rodriguez,Sucursal Mendoza,Mendoza,2024-11-14 02:02:18,Caja de tornillos,Fijaciones,1.0,28730.52,28730.52,transferencia,,,
106,5689,Olivia Felipe Diaz,Sucursal Córdoba,Córdoba,2025-02-24 15:02:37,Guantes de trabajo,Protección personal,3.0,11731.22,35193.66,tarjeta_crédito,10% off,3 cuotas sin interés,
107,2591,Ignacio Medina,Sucursal Palermo,Buenos Aires,2024-10-10 16:33:11,Caja de tornillos,Fijaciones,4.0,2634.86,10539.44,,sin interés,5% off efectivo,"Pintura látex 4L, Rodillo de pintura"
108,4289,Zoe Jazmin Francesca Vazquez,Sucursal Córdoba,Córdoba,2025-06-13 14:56:19,Cinta métrica,Medición,3.0,27011.77,81035.31,efectivo,sin interés,5% off efectivo,"Caja de tornillos, Pintura látex 4L"
109,8673,Jazmín Vazquez Alvarez,Sucursal Palermo,Buenos Aires,2024-09-18 19:09:00,Martillo,Herramientas manuales,2.0,43146.89,86293.78,mercadopago,,,
110,6992,Juana Francesca Paez Miranda,Sucursal Palermo,Buenos Aires,2025-04-13 12:46:26,Rodillo de pintura,Accesorios pintura,1.0,13958.47,13958.47,,2x1,,
111,7242,Sr(a). Pilar Perez,Sucursal Rosario,Santa Fe,2025-03-24 02:42:22,Destornillador,Herramientas manuales,2.0,24102.37,48204.74,tarjeta_crédito,,3 cuotas sin interés,
112,2035,Francesca Carrizo Figueroa,Sucursal Mendoza,Mendoza,2025-06-24 18:03:15,Caja de tornillos,Fijaciones,4.0,6717.12,26868.48,transferencia,2x1,,
113,2902,Maite Alma Jazmin Chavez,Sucursal Palermo,Buenos Aires,2025-04-11 22:35:16,Llave inglesa,Herramientas manuales,5.0,7647.54,38237.7,mercadopago,,3 cuotas sin interés,
114,7866,Luz Maria Luna Dominguez,Sucursal Córdoba,Córdoba,2024-10-19 02:38:30,Rodillo de pintura,Accesorios pintura,1.0,41850.96,41850.96,tarjeta_débito,,,
115,1536,Valentino Medina,Sucursal Rosario,Santa Fe,2024-10-06 00:52:53,Llave inglesa,Herramientas manuales,4.0,22790.1,91160.4,efectivo,10% off,3 cuotas sin interés,"Cinta métrica, Pintura látex 4L"
116,7523,Olivia Delfina Romero Coronel,Sucursal Rosario,Santa Fe,2025-02-10 17:54:25,Llave inglesa,Herramientas manuales,1.0,47501.53,47501.53,mercadopago,,,
117,1349,Gonzalo Ludmila Perez Rodriguez,Sucursal Palermo,Buenos Aires,2024-09-24 00:51:36,Pintura látex 4L,Pinturas,2.0,49452.22,98904.44,tarjeta_crédito,,5% off efectivo,Guantes de trabajo
118,4817,Sr(a). Angel Gabriel Sosa,Sucursal Rosario,Santa Fe,2025-05-26 23:58:36,Martillo,Herramientas manuales,5.0,1138.94,5694.7,tarjeta_crédito,10% off,5% off efectivo,
119,2801,Fausto Ferreyra Navarro,Sucursal Palermo,Buenos Aires,2024-12-21 13:02:31,Martillo,Herramientas manuales,1.0,18553.87,18553.87,transferencia,10% off,3 cuotas sin interés,"Taladro eléctrico, Martillo"
120,9619,Giuliana Julian Martinez,Sucursal Palermo,Buenos Aires,2025-03-19 10:06:13,Destornillador,Herramientas manuales,4.0,22965.49,91861.96,tarjeta_crédito,sin interés,,
121,1710,Tiziano Diaz Quiroga,Sucursal Rosario,Santa Fe,2025-07-11 08:12:11,Sierra circular,Herramientas eléctricas,1.0,3980.44,3980.44,efectivo,,,
122,9032,Mateo Sofía Cardozo Gomez,Sucursal Mendoza,Mendoza,2025-07-31 16:38:06,Destornillador,Herramientas manuales,1.0,16783.48,16783.48,tarjeta_débito,10% off,,"Rodillo de pintura, Cinta métrica"
123,8433,Ciro Benjamin Santino Gonzalez,Sucursal Mendoza,Mendoza,2025-01-15 15:50:49,Destornillador,Herramientas manuales,1.0,42786.84,42786.84,tarjeta_crédito,,5% off efectivo,
124,7779,Dr(a). Camila Vera,Sucursal Rosario,Santa Fe,2024-10-16 00:31:59,Sierra circular,Herramientas eléctricas,4.0,21383.49,85533.96,tarjeta_débito,2x1,3 cuotas sin interés,
125,7132,Sr(a). Santino Ramos,Sucursal Córdoba,Córdoba,2025-08-12 17:30:07,Sierra circular,Herramientas eléctricas,1.0,5470.01,5470.01,tarjeta_débito,2x1,,
126,3131,Sr(a). Violeta Ortiz,Sucursal Palermo,Buenos Aires,2024-10-02 10:59:12,Guantes de trabajo,Protección personal,5.0,28522.49,142612.45,transferencia,,,
127,1842,Julia Antonella Rodriguez Moreno,Sucursal Rosario,Santa Fe,2024-09-21 10:07:16,Guantes de trabajo,Protección personal,3.0,18230.66,54691.98,tarjeta_débito,,5% off efectivo,"Llave inglesa, Destornillador"
128,7022,Gael Gomez,Sucursal Palermo,Buenos Aires,2025-02-04 04:01:54,Caja de tornillos,Fijaciones,5.0,12081.8,60409.0,tarjeta_débito,,,
129,1474,Lucia Benitez,Sucursal Córdoba,Córdoba,2025-06-28 11:39:45,Caja de tornillos,Fijaciones,3.0,46155.34,138466.02,transferencia,sin interés,,Guantes de trabajo
130,2140,Dr(a). Mora Ayala,Sucursal Córdoba,Córdoba,2025-07-14 08:22:34,Taladro eléctrico,Herramientas eléctricas,1.0,37559.48,37559.48,tarjeta_débito,10% off,,
131,3578,Valentin Paz,Sucursal Rosario,Santa Fe,2025-05-04 14:27:30,Caja de tornillos,Fijaciones,3.0,39064.95,117194.85,tarjeta_crédito,,,
132,3579,Juan Cruz Emma Maidana Garcia,Sucursal Palermo,Buenos Aires,2025-03-10 13:58:26,Destornillador,Herramientas manuales,3.0,22712.54,68137.62,transferencia,,,
133,5475,Gonzalo Franco Carrizo,Sucursal Córdoba,Córdoba,2025-01-25 03:38:18,Cinta métrica,Medición,1.0,17913.47,17913.47,mercadopago,2x1,3 cuotas sin interés,
134,8972,Morena Romero Suarez,Sucursal Rosario,Santa Fe,2025-02-01 07:24:11,Taladro eléctrico,Herramientas eléctricas,2.0,20367.91,40735.82,,,,"Llave inglesa, Martillo"
135,5742,Alma Emiliano Quiroga Perez,Sucursal Rosario,Santa Fe,2024-09-20 10:48:35,Destornillador,Herramientas manuales,1.0,25371.88,25371.88,mercadopago,,5% off efectivo,Cinta métrica
136,6802,Sr(a). Catalina Muñoz,Sucursal Palermo,Buenos Aires,2025-03-25 06:04:13,Rodillo de pintura,Accesorios pintura,,22374.76,22374.76,mercadopago,,,
137,8033,Sr(a). Helena Moreno,Sucursal Mendoza,Mendoza,2025-03-26 02:58:52,Rodillo de pintura,Accesorios pintura,3.0,6643.5,19930.5,transferencia,2x1,3 cuotas sin interés,"Pintura látex 4L, Destornillador"
138,2734,Geronimo Gomez,Sucursal Córdoba,Córdoba,2024-12-11 13:37:22,Rodillo de pintura,Accesorios pintura,5.0,20622.04,103110.2,tarjeta_débito,2x1,,
139,4630,Helena Sanchez,Sucursal Rosario,Santa Fe,2025-04-30 08:41:08,Martillo,Herramientas manuales,1.0,26013.68,26013.68,tarjeta_débito,2x1,5% off efectivo,
